Citance Number: 1 | Reference Article:  P95-1026.txt | Citing Article:  W96-0104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In comparison, (Yarowsky, 1995) achieved 91.4% correct performance, using 1380 contexts and the dictionary definitions in training.</S> | Reference Offset:  ['114','155'] | Reference Text:  <S sid = 114 ssid = >Remarkably good performance may be achieved by identifying a single defining collocate for each class (e.g. bird and machine for the word crane), and using for seeds only those contexts containing one of these words.</S><S sid = 155 ssid = >Comparative performance: Column 5 shows the relative performance of supervised training using the decision list algorithm, applied to the same data and not using any discourse information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P95-1026.txt | Citing Article:  W96-0104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Yarowsky (1995) combined a MIlD and a corpus in a bootstrapping process.</S> | Reference Offset:  ['39','86'] | Reference Text:  <S sid = 39 ssid = >This provides a mechanism for bootstrapping a sense tagger.</S><S sid = 86 ssid = >The details of this process are discussed in Section 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P95-1026.txt | Citing Article:  P14-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another line of research is to pick up some high-quality auto-parsed training instances from unlabeled data using bootstrapping methods, such as self-training (Yarowsky, 1995), co-training (Blum and Mitchell, 1998), and tri-training (Zhou and Li, 2005).</S> | Reference Offset:  ['93','139'] | Reference Text:  <S sid = 93 ssid = >The training sets (e.g.</S><S sid = 139 ssid = >This helps improve the purity of the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P95-1026.txt | Citing Article:  W09-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky (1995) successfully used this observation as an approximate annotation technique in an unsupervised WSD model.</S> | Reference Offset:  ['9','37'] | Reference Text:  <S sid = 9 ssid = >The observation that words strongly tend to exhibit only one sense in a given discourse or document was stated and quantified in Gale, Church and Yarowsky (1992).</S><S sid = 37 ssid = >In general, the decision-list algorithm is well suited for the task of sense disambiguation and will be used as a component of the unsupervised algorithm below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P95-1026.txt | Citing Article:  P13-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This heuristic naturally reflects the broadly known assumption about lexical ambiguity presented in (Yarowsky, 1995), namely the one-sense-per-discourse heuristic.</S> | Reference Offset:  ['14','104'] | Reference Text:  <S sid = 14 ssid = >For these words, the table below measures the claim's accuracy (when the word occurs more than once in a discourse, how often it takes on the majority sense for the discourse) and applicability (how often the word does occur more than once in a discourse).</S><S sid = 104 ssid = >They have been displaced by more broadly applicable collocations that better partition the newly learned classes.</S> | Discourse Facet:  NA | Annotator: Automatic


