Citance Number: 1 | Reference Article:  P95-1037.txt | Citing Article:  W10-1409.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The conversion uses head propagation rules to find the head on the right-hand side of the CFG rules, first proposed for English in (Magerman, 1995).</S> | Reference Offset:  ['11','105'] | Reference Text:  <S sid = 11 ssid = >Since most natural language rules are not absolute, the disambiguation criteria discovered in this work are never applied deterministically.</S><S sid = 105 ssid = >The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P95-1037.txt | Citing Article:  W06-1638.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Not to mention earlier non-PCFG lexicalized statistical parsers, notably Magerman (1995) for the Penn Treebank, also modified the treebank to contain different labels for standard and for base noun phrases.</S> | Reference Offset:  ['136','148'] | Reference Text:  <S sid = 136 ssid = >The Lancaster treebank uses 195 part-ofspeech tags and 19 non-terminal labels.</S><S sid = 148 ssid = >The Penn Treebank uses 46 part-of-speech tags and 27 non-terminal labels.2 The WSJ portion of the Penn Treebank is divided into 25 sections, numbered 00 - 24.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P95-1037.txt | Citing Article:  P09-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, subtrees with terminal symbols can be viewed as learning dependencies among the words in the subtree, obviating the need for the manual specification (Magerman, 1995) or automatic inference (Chiang and Bikel, 2002) of lexical dependencies.</S> | Reference Offset:  ['6','95'] | Reference Text:  <S sid = 6 ssid = >Parsing a natural language sentence can be viewed as making a sequence of disambiguation decisions: determining the part-of-speech of the words, choosing between possible constituent structures, and selecting labels for the constituents.</S><S sid = 95 ssid = >A parse tree can be viewed as an n-ary branching tree, with each node in a tree labeled by either a non-terminal label or a part-of-speech label.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P95-1037.txt | Citing Article:  W01-0521.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The probability models of Charniak (1997), Magerman (1995) and Ratnaparkhi (1997) dier in their details but are based on similar features.</S> | Reference Offset:  ['29','120'] | Reference Text:  <S sid = 29 ssid = >The grammarian is accomplishing two critical tasks: identifying the features which are relevant to each decision, and deciding which choice to select based on the values of the relevant features.</S><S sid = 120 ssid = >The probability of a parse is just the product of the probability of each of the actions made in constructing the parse, according to the decision-tree models.</S> | Discourse Facet:  NA | Annotator: Automatic


