Citance Number: 1 | Reference Article:  P97-1041.txt | Citing Article:  P98-2206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Palmer (1997) conducted a Chinese segmenter which merely made use of a manually segmented corpus (without referring to any lexicon).</S> | Reference Offset:  ['3','52'] | Reference Text:  <S sid = 3 ssid = >As a stand-alone segmenter, we show our algorithm to produce high performance Chinese segmentation.</S><S sid = 52 ssid = >For our experiments, we obtained corpora which had been manually segmented by native or nearnative speakers of Chinese and Thai.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1041.txt | Citing Article:  W06-0128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In general, the word segmentation program utilizes the word entries, part-of-speech (POS) information (Chen and Liu, 1992) in a monolingual dictionary, segmentation rules (Palmer, 1997), and some statistical information (Sproat, et al, 1994).</S> | Reference Offset:  ['19','73'] | Reference Text:  <S sid = 19 ssid = >For example, since word segmentation is merely a preprocessing task for a wide variety of further tasks such as parsing, information extraction, and information retrieval, different segmentations can be useful or even essential for the different tasks.</S><S sid = 73 ssid = >In fact, the CAW algorithm alone has been shown (Buckley et al., 1996; Broglio et al., 1996) to be adequate to be used successfully in Chinese information retrieval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1041.txt | Citing Article:  W03-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','155'] | Reference Text:  <S sid = 48 ssid = >In this manner a sequence of rules is built for iteratively improving the initial model.</S><S sid = 155 ssid = >This paper benefited greatly from discussions with and comments from Marc Vilain, Lynette Hirschman, Sam Bayer, and the anonymous reviewers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1041.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach was used by Palmer (1997) for word segmentation.</S> | Reference Offset:  ['63','80'] | Reference Text:  <S sid = 63 ssid = >We used our rule-based algorithm to improve the word segmentation rate for several segmentation algorithms in three languages.</S><S sid = 80 ssid = >In this manner, an initial segmentation can be obtained that is more informed than a simple character-as-word approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P97-1041.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work adds an existing system to improve the rules learned, while Palmer (1997) adds rules to improve an existing system's performance.</S> | Reference Offset:  ['94','101'] | Reference Text:  <S sid = 94 ssid = >In this experiment we demonstrate that our algorithm can also improve the output of such a system.</S><S sid = 101 ssid = >Our rule-based algorithm is thus able to produce an improvement to an existing high-performance system.</S> | Discourse Facet:  NA | Annotator: Automatic


