Citance Number: 1 | Reference Article:  P98-1029.txt | Citing Article:  W03-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Classifier combination has been shown to be effective in improving the performance of NLP applications, and have been investigated by Brill and Wu (1998) and van Halteren et al (2001) for part-of-speech tagging, Tjong Kim Sang et al (2000) for base noun phrase chunking, and Florian et al (2003a) for word sense disambiguation.</S> | Reference Offset:  ['0','66'] | Reference Text:  <S sid = 0 ssid = >Classifier Combination for Improved Lexical Disambiguation</S><S sid = 66 ssid = >If all taggers made the exact same errors, there would obviously be no chance of improving accuracy through classifier combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1029.txt | Citing Article:  W09-0715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Committee-based approaches to POS tagging have been in focus the last decade: Brill and Wu (1998) combined four different taggers for English using unweighted voting and by exploring contextual cues (essentially a variant of stacking).</S> | Reference Offset:  ['68','74'] | Reference Text:  <S sid = 68 ssid = >We ran experiments to determine whether the outputs of the different taggers could be effectively combined.</S><S sid = 74 ssid = >We tried simple voting, using the Maximum Entropy, Transformation-Based and Trigram taggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1029.txt | Citing Article:  N03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In NLP, such methods have been applied to tasks such as POS tagging (Brill and Wu, 1998), word sense disambiguation (Pedersen, 2000), parsing (Henderson and Brill, 1999), and machine translation (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['26','97'] | Reference Text:  <S sid = 26 ssid = >In transformation-based tagging (Brill (1995)), every word is first assigned an initial tag, This tag is the most likely tag for a word if the word is known and is guessed based upon properties of the word if the word is not known.</S><S sid = 97 ssid = >For instance, we may learn that the Trigram tagger is most accurate at tagging the word up or that the Unigrarn tagger does best at tagging the word (Daelemans(1996)). race when the word that follows is and.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1029.txt | Citing Article:  P01-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The complementarity between two learners was defined by Brill and Wu (1998) in order to quantify the percentage of time when one system is wrong, that another system is correct, and therefore providing an upper bound on combination accuracy.</S> | Reference Offset:  ['48','50'] | Reference Text:  <S sid = 48 ssid = ># of errors in A only In other words, Comp(A,B) measures the percentage of time when tagger A is wrong that tagger B is correct.</S><S sid = 50 ssid = >For instance, when the maximum entropy tagger is wrong, the transformationbased tagger is right 37.7% of the time, and when the transformation-based tagger is wrong, the maximum entropy tagger is right 41.7% of the time.</S> | Discourse Facet:  NA | Annotator: Automatic


