Citance Number: 1 | Reference Article:  P99-1016.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Caraballo (1999) for a detailed description of a method to construct such a hierarchy.</S> | Reference Offset:  ['19','42'] | Reference Text:  <S sid = 19 ssid = >Compute the similarity between each pair of nodes using the cosine method.</S><S sid = 42 ssid = >For each internal node of the tree, we construct a vector of hypernyms by adding together the vectors of its children.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1016.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Caraballo (1999), we construct a hierarchy of nouns, including hypernym relations.</S> | Reference Offset:  ['95','121'] | Reference Text:  <S sid = 95 ssid = >For example, we have a cluster including many forms of currency, but because there is little data for these particular words, the only hypernym found was &quot;product&quot;.</S><S sid = 121 ssid = >Their clustering is based on verb-object relations rather than on the noun-noun relations that we use.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1016.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo (1999) proposed the first attempt, which used conjunction and apposition features to build noun clusters.</S> | Reference Offset:  ['15','119'] | Reference Text:  <S sid = 15 ssid = >A vector is created for each noun containing counts for how many times each other noun appears in a conjunction or appositive with it.</S><S sid = 119 ssid = >Pereira et al. (1993) used clustering to build an unlabeled hierarchy of nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1016.txt | Citing Article:  W02-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo (1999) uses a hierarchical clustering technique to build a hyponymy hierarchy of nouns.</S> | Reference Offset:  ['9','119'] | Reference Text:  <S sid = 9 ssid = >The first stage in constructing our hierarchy is to build an unlabeled hierarchy of nouns using bottom-up clustering methods (see, e.g., Brown et al. (1992)).</S><S sid = 119 ssid = >Pereira et al. (1993) used clustering to build an unlabeled hierarchy of nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1016.txt | Citing Article:  W02-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The built-in ambiguity in the hyponymy hierarchy presented in (Caraballo, 1999) is primarily an effect of the fact that all information is composed into one tree.</S> | Reference Offset:  ['2','105'] | Reference Text:  <S sid = 2 ssid = >This work goes a step further by automatically creating not just clusters of related words, but a hierarchy of nouns and their hypernyms, akin to the hand-built hierarchy in WordNet.</S><S sid = 105 ssid = >Because the tree is built in a binary fashion, when, e.g., three clusters should all be distinct children of a common parent, two of them must merge first, giving an artificial intermediate level in the tree.</S> | Discourse Facet:  NA | Annotator: Automatic


