Citance Number: 1 | Reference Article:  P99-1071.txt | Citing Article:  P99-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As new applications appear, that cannot start generation from a semantic input because such an input is not available (for example re-generation of sentences from syntactic fragments to produce summaries (Barzilay et al, 1999) or generation of complex NPs in a hybrid template system for business letters (Gedalia, 1996)), this motivation has lost some of its strength.</S> | Reference Offset:  ['138','166'] | Reference Text:  <S sid = 138 ssid = >When the semantic information is not available, it is more difficult to predict that the decisions are compatible with the input provided in syntactic form.</S><S sid = 166 ssid = >Assuming a set of similar sentences as input extracted from multiple documents on the same event (McKeown et al., 1999; Eskin et al., 1999), our system identifies common phrases across sentences and uses language generation to reformulate them as a coherent summary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1071.txt | Citing Article:  P14-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay et al (1999) were one of the first to use time for multi-document summarization.</S> | Reference Offset:  ['0','150'] | Reference Text:  <S sid = 0 ssid = >Information Fusion In The Context Of Multi-Document Summarization</S><S sid = 150 ssid = >Evaluation of multi-document summarization is difficult.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1071.txt | Citing Article:  D08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Extractive summarization is a simple but robust method for text summarization and it involves assigning saliency scores to some units (e.g. sentences, paragraphs) of the documents and extracting those with highest scores, while abstraction summarization usually needs information fusion (Barzilay et al, 1999), sentence compression (Knight and Marcu, 2002) and reformulation (McKeown et al, 1999).</S> | Reference Offset:  ['15','166'] | Reference Text:  <S sid = 15 ssid = >Our work is part of a full summarization system (McKeown et al., 1999), which extracts sets of similar sentences, themes (Eskin et al., 1999), in the first stage for input to the components described here.</S><S sid = 166 ssid = >Assuming a set of similar sentences as input extracted from multiple documents on the same event (McKeown et al., 1999; Eskin et al., 1999), our system identifies common phrases across sentences and uses language generation to reformulate them as a coherent summary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1071.txt | Citing Article:  C08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Then one can apply the method inspired by (Barzilay et al, 1999) to identify common phrases across sentences and use language generation to form a more coherent summary.</S> | Reference Offset:  ['56','166'] | Reference Text:  <S sid = 56 ssid = >Therefore, we need to intersect the theme sentences to identify the common phrases and then generate a new sentence.</S><S sid = 166 ssid = >Assuming a set of similar sentences as input extracted from multiple documents on the same event (McKeown et al., 1999; Eskin et al., 1999), our system identifies common phrases across sentences and uses language generation to reformulate them as a coherent summary.</S> | Discourse Facet:  NA | Annotator: Automatic


