Citance Number: 1 | Reference Article:  W00-1427.txt | Citing Article:  W02-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The relation tuple is then converted to root form using the Sussex morphological analyser (Minnen et al, 2000) and the POS tags are removed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The PoS labels follow the same pattern as in the Lancaster CLAWS tag sets (Garside et al., 1987; Burnard, 1995). with noun tags starting with N. etc.</S><S sid = NA ssid = NA>Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-1427.txt | Citing Article:  N12-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Chambers and Jurafsky (2008), we extracted and lemmatized the verbs from the New York Times section of the Gigaword Corpus using the Stanford POS tagger (Toutanova et al, 2004) and the Morphalemmatizer (Minnen et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Karttunen et al. (1996)).</S><S sid = NA ssid = NA>In addition. we have incorporated data acquired semiautomatically from the following corpora and machine readable, dictionaries: the LOB corpus (Garside et al., 1987), the Penn Treebank (Marcus et al., 1993), the SUSANNE corpus (Sampson, 1995), the Spoken English Corpus (Taylor and Knowles, 1988), the Oxford Psycholinguistic Database (Quinlan, 1992), and the &quot;Computer-Usable&quot; version of the Oxford Advanced Learner's Dictionary of Current English (OALDCE; Mitton, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-1427.txt | Citing Article:  W04-2410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Each word was reduced to its morphological root using the morphological analyser described in (Minnen et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The final processing stage in the system is therefore morphological generation, using the generator described in the previous section.</S><S sid = NA ssid = NA>We have described a generator-for -English flectional morphology.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-1427.txt | Citing Article:  W02-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The relation tuple is then converted to root form using the Sussex morphological analyser (Minnen et al., 2000) and the POS tags are stripped.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The PoS labels follow the same pattern as in the Lancaster CLAWS tag sets (Garside et al., 1987; Burnard, 1995). with noun tags starting with N. etc.</S><S sid = NA ssid = NA>Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


