Citance Number: 1 | Reference Article:  W02-0902.txt | Citing Article:  C10-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) combine a vector-space approach with other clues such as orthographic similarity and frequency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We combine various clues such as cognates, similar context, preservation of word similarity, and word frequency.</S><S sid = NA ssid = NA>The similarity and frequency clues, however, seem to be too imprecise to pinpoint the search to the correct translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-0902.txt | Citing Article:  C10-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike the noun-only test sets used in other studies, (e.g., Koehn and Knight (2002), Haghighi et al (2008)), TS1000 also contains adjectives and verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Verbs, adjectives, adverbs and other part of speech may be tackled in a similar way.</S><S sid = NA ssid = NA>Some of this work has been re-implemented and is freely available for research purposes [AlOnaizan et al., 1999].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-0902.txt | Citing Article:  P14-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) automatically induce the initial seed bilingual dictionary by using identical spelling features such as cognates and similar contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Still, these words – often called cognates – maintain a very similar spelling.</S><S sid = NA ssid = NA>We combine various clues such as cognates, similar context, preservation of word similarity, and word frequency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This setting has been considered before, most notably in Koehn and Knight (2002) and Fung (1995), but the current paper is the first to use a probabilistic model and present results across a variety of language pairs and data conditions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For experiments on training probabilistic translation lexicons from parallel corpora and similar tasks on the same test corpus, refer to our earlier work [Koehn and Knight, 2000, 2001].</S><S sid = NA ssid = NA>Intuitively it is obvious that pairs of words that are similar in one language should have translations that are similar in the other language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Koehn and Knight (2002), we consider lexicons over only noun word types, although this is not a fundamental limitation of our model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Roughly speaking, SMT divides the task of translation into two steps: a word-level translation model and a model for word reordering during the translation process.</S><S sid = NA ssid = NA>For experiments on training probabilistic translation lexicons from parallel corpora and similar tasks on the same test corpus, refer to our earlier work [Koehn and Knight, 2000, 2001].</S> | Discourse Facet:  NA | Annotator: Automatic


