Citance Number: 1 | Reference Article:  W02-0908.txt | Citing Article:  W02-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Curran and Moens (2002b) evaluate thesaurus extractors based on several different models of context on large corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous work (Curran and Moens, 2002) has evaluated thesaurus extraction performance and efficiency using several different context models.</S><S sid = NA ssid = NA>This approximation algorithm is dramatically faster than simple pairwise comparison, with only a small performance penalty, which means that complete thesaurus extraction on large corpora is now feasible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-0908.txt | Citing Article:  W02-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All the systems use the JACCARD similarity metric and TTEST weighting function that were found to be most effective for thesaurus extraction by Curran and Moens (2002a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 7 presents the example term results using the techniques we have described: JACCARD measure and TTEST weight functions; minimum cutoff of 30; and approximation algorithm with canonical vector size of 100 with TTESTLOG weighting.</S><S sid = NA ssid = NA>Vector-space thesaurus extraction systems can be separated into two components.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-0908.txt | Citing Article:  W02-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Curran and Moens (2002b) have demonstrated that more complex and constrained contexts can yield superior performance, since the correlation between context and target term is stronger than simple window methods.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some systems define the context as a window of words surrounding each thesaurus term (McDonald, 2000).</S><S sid = NA ssid = NA>Most systems extract co-occurrence and syntactic information from the words surrounding the target term, which is then converted into a vector-space representation of the contexts that each target term appears in (Pereira et al., 1993; Ruge, 1997; Lin, 1998b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-0908.txt | Citing Article:  W09-0203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We worked with an implementation of the log likelihood ratio (g-Score) as proposed by Dunning (1993) and two variants of the t-score, one considering all values (t-score) and one where only positive values (t-score+) are kept following the results of Curran and Moens (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 5 + 128, and with at most 200 synonyms, the maximum INVR score is 5.878.</S><S sid = NA ssid = NA>As an example, with a maximum cutoff of 10,000 and a canonical vector size of 70, the total DIRECT score of 1841 represents a 3.9% performance penalty over full extraction, for an 89% reduction in execution time.</S> | Discourse Facet:  NA | Annotator: Automatic


