Citance Number: 1 | Reference Article:  W02-1011.txt | Citing Article:  W03-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Pang et al, 2002) collected reviews from a movie database and rated them as positive, negative, or neutral based on the rating (e.g., number of stars) given by the reviewer.</S> | Reference Offset:  ['36','37'] | Reference Text:  <S sid = 36 ssid = >Our data source was the Internet Movie Database (IMDb) archive of the rec.arts.movies.reviews newsgroup.3 We selected only reviews where the author rating was expressed either with stars or some numerical value (other conventions varied too widely to allow for automatic processing).</S><S sid = 37 ssid = >Ratings were automatically extracted and converted into one of three categories: positive, negative, or neutral.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1011.txt | Citing Article:  P14-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is the case in many sentiment analysis corpora that only positive and negative instances are included, e.g., (Pang et al, 2002).</S> | Reference Offset:  ['38','57'] | Reference Text:  <S sid = 38 ssid = >For the work described in this paper, we concentrated only on discriminating between positive and negative sentiment.</S><S sid = 57 ssid = >Our aim in this work was to examine whether it suffices to treat sentiment classification simply as a special case of topic-based categorization (with the two “topics” being positive sentiment and negative sentiment), or whether special sentiment-categorization methods need to be developed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1011.txt | Citing Article:  C10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentiment classification is a special task of text classification whose objective is to classify a text according to the sentimental polarities of opinions it contains (Pang et al, 2002), e.g., favorable or unfavorable, positive or negative.</S> | Reference Offset:  ['57','69'] | Reference Text:  <S sid = 57 ssid = >Our aim in this work was to examine whether it suffices to treat sentiment classification simply as a special case of topic-based categorization (with the two “topics” being positive sentiment and negative sentiment), or whether special sentiment-categorization methods need to be developed.</S><S sid = 69 ssid = >Nigam et al. (1999) show that it sometimes, but not always, outperforms Naive Bayes at standard text classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1011.txt | Citing Article:  P09-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For evaluation, we use five sentiment classification datasets, including the widely-used movie review dataset [MOV] (Pang et al, 2002) as well as four datasets that contain reviews of four different types of product from Amazon [books (BOO), DVDs (DVD), electronics (ELE), and kitchen appliances (KIT)] (Blitzer et al, 2007).</S> | Reference Offset:  ['81','116'] | Reference Text:  <S sid = 81 ssid = >We used documents from the movie-review corpus described in Section 3.</S><S sid = 116 ssid = >(Nigam et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


