Citance Number: 1 | Reference Article:  W03-1014.txt | Citing Article:  P04-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1014.txt | Citing Article:  P10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and wiebe (2003) constructed a high precision classifier for contiguous sentences using the number of strong and weak subjective words in current and nearby sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The high-precision subjective classifier classifies a sentence as subjective if it contains two or more of the strongly subjective clues.</S><S sid = NA ssid = NA>One classifier searches the unannotated corpus for sentences that can be labeled as subjective with high confidence, and the other classifier searches for sentences that can be labeled as objective with high confidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1014.txt | Citing Article:  W10-3505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1014.txt | Citing Article:  P06-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although this work aims at learning only nouns, in the subsequent work, they also proposed a bootstrapping method that can deal with phrases (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Others were derived from corpora, including subjective nouns learned from unannotated data using bootstrapping (Riloff et al., 2003).</S><S sid = NA ssid = NA>Section 2 discusses previous work on subjectivity analysis and extraction pattern learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-1014.txt | Citing Article:  W12-4102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Subjective sentences are sentences used to express opinions, evaluations, and speculations (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Private state is a general covering term for opinions, evaluations, emotions, and speculations (Quirk et al., 1985).</S><S sid = NA ssid = NA>The learned patterns are then used to identify more subjective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


