Citance Number: 1 | Reference Article:  W04-3212.txt | Citing Article:  H05-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Syntactic frame as described by Xue and Palmer (2004) Table 3.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results are presented in Table 2.</S><S sid = NA ssid = NA>Most of these systems generally take as input a syntactic parse tree and use the syntactic information as features to tag the syntactic constituents with semantic role labels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3212.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The candidate argument extraction method used for the FrameNet data, (as mentioned in 4) was adapted from the algorithm of Xue and Palmer (2004) applied to dependency trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The availability of semantically annotated corpora such as the Proposition Banks (Kingsbury and Palmer, 2002; Xue and Palmer, 2003) and FrameNet (Baker et al., 1998) have enabled the development of a rapidly growing list of statistical semantic analyzers (Giidea and Jurafsky, 2002; Giidea and Palmer, 2002; Chen and Rambow, 2003; Pradhan et al., 2003; Pradhan et al., 2004; Sun and Jurafsky, 2004; Palmer et al., submitted).</S><S sid = NA ssid = NA>They did not report results that use automatic parses with this version of the data, but using a previous version of the data, they reported an fscore of 79.4% using automatic parses (Charniak, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3212.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For PropBank we use the algorithm of Xue and Palmer (2004) applied to dependency trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 The PropBank and Semantic Role Labeling The PropBank adds a layer of semantic annotation to the Treebank II (Marcus et al., 1993; Marcus et al., 1994) to capture generalizations that are not adequately represented in the treebank parse trees.</S><S sid = NA ssid = NA>Based on these considerations, we will adopt a three-stage architecture: Stage 1: To save training time, we use a simple algorithm to filter out constituents that are clearly not semantic arguments to the predicate in question.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3212.txt | Citing Article:  P06-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, we considered some of the features designed by (Pradhan et al, 2005): First and Last Word/POS in Constituent, Subcategorization, Head Word of Prepositional Phrases and the Syntactic Frame feature from (Xue and Palmer, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is clear that the syntactic frame feature results in the most improvement (more than 1.7%) over the baseline, with the head of the PP parent feature being a close second.</S><S sid = NA ssid = NA>The last three features are from (Pradhan et al., 2004), and they also result in an improvement in performance.</S> | Discourse Facet:  NA | Annotator: Automatic


