Citance Number: 1 | Reference Article:  W07-0702.txt | Citing Article:  W07-0733.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This alternate decoding path model was developed by Birch et al (2007).</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-0702.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Birch et al (2007) showed that this approach captures the same re-ordering phenomena as lexicalized re-ordering models, which were not included in the baseline.</S> | Reference Offset:  ['19','189'] | Reference Text:  <S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S><S sid = 189 ssid = >This approach was used as the second way in which 14 we combined our models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-0702.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Birch et al (2007) then investigated source-side CCG super tag features, but did not show an improvement for Dutch-English.</S> | Reference Offset:  ['19','177'] | Reference Text:  <S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S><S sid = 177 ssid = >4.7 CCG Supertags on Source.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-0702.txt | Citing Article:  D11-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lastly, Koehn and Schroeder (2007) reported improvements from using multiple decoding paths (Birch et al, 2007) to pass both tables to the Moses SMT decoder (Koehn et al, 2003), instead of directly combining the phrase tables to perform domain adaptation.</S> | Reference Offset:  ['18','32'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 32 ssid = >Inspired by work on factored language models, Koehn et al (2006) extend phrase-based models to incorporate multiple levels of linguistic knowledgeas factors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-0702.txt | Citing Article:  D11-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have also shown in passing that the linear interpolation of translation models may work less well for translation model adaptation than the multiple paths decoding technique of (Birch et al, 2007).</S> | Reference Offset:  ['32','194'] | Reference Text:  <S sid = 32 ssid = >Inspired by work on factored language models, Koehn et al (2006) extend phrase-based models to incorporate multiple levels of linguistic knowledgeas factors.</S><S sid = 194 ssid = >This is the first work suggesting the application of LOPs to decoding in ma chine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


