Citance Number: 1 | Reference Article:  W07-0718.txt | Citing Article:  W08-0312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Callison-Burch et al, 2007) reported that the inter coder agreement on the task of assigning ranks to a given set of candidate hypotheses is much better than the intercoder agreement on the task of assigning a score to a hypothesis in isolation.</S> | Reference Offset:  ['145','146'] | Reference Text:  <S sid = 145 ssid = >The agreement on the other two types of manual evaluation that we introduced were considerably better.</S><S sid = 146 ssid = >The both the sentence and constituent ranking had moderate inter-annotator agreement and substantial intra-annotator agreement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-0718.txt | Citing Article:  W12-4204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While this single-scale relative ranking is perhaps faster to annotate and reaches a higher inter and intra-annotator agreement than the (absolute) fluency and adequacy (Callison-Burch et al, 2007), the technique and its evaluation are still far from satisfactory.</S> | Reference Offset:  ['138','146'] | Reference Text:  <S sid = 138 ssid = >For intra-annotator agreement we did similarly, but gathered items that were annotated on multiple occasions by a single annotator.</S><S sid = 146 ssid = >The both the sentence and constituent ranking had moderate inter-annotator agreement and substantial intra-annotator agreement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-0718.txt | Citing Article:  W09-2301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Moses system with a 4-gram language model and a distance-6 lexical reordering model ("lex RO") scores similarly to state-of-the-art systems of this type on the test 2007 French English data (Callison-Burch et al, 2007).</S> | Reference Offset:  ['1','126'] | Reference Text:  <S sid = 1 ssid = >j schroeder ed ac uk Abstract This paper evaluates the translation quality of machine translation systems for 8 language pairs: translating French, German, Spanish, and Czech to English and back.</S><S sid = 126 ssid = >The following systems were the best performing for the different language pairs: SYSTRAN was ranked the highest in German-English, University of Catalonia was ranked the highest in Spanish-English, LIMSI-CNRS was ranked highest in French-English, and the University of Maryland and a commercial system were the highest for agreement for the different types of manual evaluation Czech-English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-0718.txt | Citing Article:  W08-0324.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This behavior appears to be consistent on the test 2007 and nc-test2007 data sets across systems (Callison-Burch et al, 2007).</S> | Reference Offset:  ['23','107'] | Reference Text:  <S sid = 23 ssid = >This year’s data included training and development sets for the News Commentary data, which was the surprise outof-domain test set last year.</S><S sid = 107 ssid = >However, recent work suggests that Bleu’s correlation with human judgments may not be as strong as previously thought (Callison-Burch et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


