Citance Number: 1 | Reference Article:  W07-2009.txt | Citing Article:  W07-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our systems consistently perform better when a mode exists, which makes sense because those are instances in which the annotators are in agreement (McCarthy and Navigli, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With 10 guesses there is a better chance that the systems find the responses of these 5 annotators.</S><S sid = NA ssid = NA>We want to emphasise test items with better agreement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2009.txt | Citing Article:  C10-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our evaluation framework is inspired by the lexical substitution task (McCarthy and Navigli, 2007), where a system attempts to generate a word (or a set of words) to replace a target word, such that the meaning of the sentence is preserved.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the task, annotators and systems find an alternative substitute word or phrase for a target word in context.</S><S sid = NA ssid = NA>For mw detection and identification we used WordNet to detect if a multiword in WordNet which includes the target word occurs within a window of 2 words before and 2 words after the target word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2009.txt | Citing Article:  W09-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(OOT) evaluation metrics defined by McCarthy and Navigli (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This optionwas envisaged for evaluation of multiword detection.</S><S sid = NA ssid = NA>We have 3 separate subtasks 1) best 2) oot and 3) mw which we describe below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2009.txt | Citing Article:  W09-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first one, the LEXSUB-PARA dataset, is a small subset of the Lexical Substitution corpus (McCarthy and Navigli, 2007) that was specifically created for this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 10: English Lexical Substitution Task</S><S sid = NA ssid = NA>In this paper we describe the English Lexical Substitution task for SemEval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-2009.txt | Citing Article:  P13-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While Dinu and Lapata (Dinu and Lapata, 2010b) did show improvement over context insensitive DIRT, this result was obtained on the verbs of the Lexical Substitution Task in SemEval (McCarthy and Navigli, 2007), which was manually created with a bias for context-sensitive substitutions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 10: English Lexical Substitution Task</S><S sid = NA ssid = NA>In this paper we describe the English Lexical Substitution task for SemEval.</S> | Discourse Facet:  NA | Annotator: Automatic


