Citance Number: 1 | Reference Article:  W07-2014.txt | Citing Article:  W07-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The 2007 TempEval competition tries to address this question by establishing a common corpus on which research systems can compete to find temporal relations (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S><S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2014.txt | Citing Article:  P14-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, TempEval (Verhagen et al, 2007) only labeled relations between events that syntactically dominated each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Main events are those events that are syntactically dominant in the sentences.It should be noted that annotation of temporal relations is not an easy task for humans due to ram pant temporal vagueness in natural language.</S><S sid = NA ssid = NA>TimeML (Puste jovsky et al, 2003a) is an emerging ISO standard for annotation of events, temporal expressions and the anchoring and ordering relations between them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2014.txt | Citing Article:  E12-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our task is similar to task A and C of TempEval-1 (Verhagen et al 2007) in the sense that we attempt to identify temporal relation between events and time expressions or document dates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TASK B This task addresses only the temporal relations holding between the Document Creation Time (DCT) and event expressions.</S><S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2014.txt | Citing Article:  P09-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>challenge held at the SemEval 2007 Workshop (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S> | Discourse Facet:  NA | Annotator: Automatic


