Citance Number: 1 | Reference Article:  W10-1703.txt | Citing Article:  P11-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data for French, German, and Spanish are from the 2010 Workshop on Statistical Machine Translation (Callison-Burch et al, 2010).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation</S><S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W10-1703.txt | Citing Article:  W12-3104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the segment level, we followed (Callison-Burch et al, 2010) in using Kendall's rank correlation coefficient.</S> | Reference Offset:  ['6','165'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 165 ssid = >We then compared the ranking of systems by the human assessments to that provided by the automatic metric system level scores on the complete WMT10 test set for each language pair, using Spearman’s p rank correlation coefficient.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W10-1703.txt | Citing Article:  N12-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our choice of metrics was based on their popularity in the MT community, their performance in open competitions such as the NIST Metrics MATR challenge (NIST, 2008) and the WMT shared evaluation task (Callison-Burch et al, 2010), their availability, and their relative complementarity.</S> | Reference Offset:  ['6','114'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 114 ssid = >NIST began running a “Metrics for MAchine TRanslation” challenge (MetricsMATR), and presented their findings at a workshop at AMTA (Przybocki et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W10-1703.txt | Citing Article:  W11-2120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the evaluation data in (Sennrich, 2011), this system significantly outperformed MEMT (Heafield and Lavie, 2010), which was among the best-performing system combination tools at WMT 2010 (Callison-Burch et al, 2010). In this paper, we apply the same approach to a different translation scenario, namely the WMT 2011 shared task.</S> | Reference Offset:  ['5','6'] | Reference Text:  <S sid = 5 ssid = >This paper presents the results of the shared tasks of the joint Workshop on statistical Machine Translation (WMT) and Metrics for MAchine TRanslation (MetricsMATR), which was held at ACL 2010.</S><S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


