Citance Number: 1 | Reference Article:  W11-1802.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioNLP Shared Task 2011 (BioNLP ST 11) (Kim et al, 2011a), the follow-up event to the BioNLP 09 Shared Task (Kim et al, 2009), was organized from August 2010 (sample data release) to March 2011.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W11-1802.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For compatibility with the BioNLP ST 09 and its repeat as the GE task in 2011 (Kim et al, 2011b), the REL task training/development/test set division of the GENIA corpus abstracts matches that of the BioNLP ST 09 data.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W11-1802.txt | Citing Article:  W11-1801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The GE task (Kim et al, 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al, 2008).</S> | Reference Offset:  ['13','19'] | Reference Text:  <S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S><S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W11-1802.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Infectious Diseases (ID) task of the BioNLP Shared Task 2011 (Kim et al, 2011a) is an information extraction task focusing on the biomolecular mechanisms of infectious diseases.</S> | Reference Offset:  ['0','29'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 29 ssid = >Task 2.</S> | Discourse Facet:  NA | Annotator: Automatic


