Citance Number: 1 | Reference Article:  W95-0105.txt | Citing Article:  W96-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, work on word sense disambiguation i corpora (e.g. Resnik 1995), could lead to an estimate of frequencies for word senses in general, with rule-derived senses simply being a special case.</S> | Reference Offset:  ['98','119'] | Reference Text:  <S sid = 98 ssid = >In each case, I give the source of the noun grouping, the grouping itself, and for each word a description of word senses together with their values of y).</S><S sid = 119 ssid = >For each case, they were given the full set of nouns in the numbered category (as shown above) together with descriptions of the WordNet senses for the word to be disambiguated (as, for example, the list of 25 senses for line given in the previous section, though thankfully few words have that many senses!).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W95-0105.txt | Citing Article:  W07-2088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An adaptation of Lesk dictionary-based WSD algorithm has been used to disambiguate adjectives and ad verbs (Banerjee and Pedersen, 2002), an adaptation of the Resnik algorithm has been used to disambiguate nouns (Resnik, 1995), while the algorithm we developed for disambiguating verbs exploits the nouns in the context of the verb as well as the nouns both in the glosses and in the phrases that WordNet utilizes to describe the usage of a verb.</S> | Reference Offset:  ['64','84'] | Reference Text:  <S sid = 64 ssid = >Algorithm.</S><S sid = 84 ssid = >First, unlike Sussna's proposal, this algorithm aims to disambiguate groupings of nouns already established (e.g. by clustering, or by manual effort) to be related, as opposed to groupings of nouns that happen to appear near each other in running text (which may or may not reflect relatedness based on meaning).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W95-0105.txt | Citing Article:  W07-2088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The procedure is obtained by making some variations to the algorithm designed by Resnik (1995) for disambiguating noun groups.</S> | Reference Offset:  ['0','138'] | Reference Text:  <S sid = 0 ssid = >Disambiguating Noun Groupings With Respect To Wordnet Senses</S><S sid = 138 ssid = >Immediate plans include a larger scale version of the experiment presented here, involving thesaurus classes, as well as a similarly designed evaluation of how the algorithm fares when presented with noun groups produced by distributional clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W95-0105.txt | Citing Article:  W07-2088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >JIGSAW nouns differs from the original algorithm by Resnik (1995) in the similarity measure used to compute relatedness of two senses.</S> | Reference Offset:  ['64','87'] | Reference Text:  <S sid = 64 ssid = >Algorithm.</S><S sid = 87 ssid = >Third, unlike Sussna's algorithm, the semantic similarity/distance computation here is not based on path length, but on information content, a choice that I have argued for elsewhere (Resnik, 1993; Resnik, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


