Citance Number: 1 | Reference Article:  W95-0107.txt | Citing Article:  P07-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Ramshaw and Marcus (1995), the current dominant approach is formulating chunking as a classification task, in which each word is classified as the (B)eginning, (I)nside or (O) outside of a chunk.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, instead of referring to the word two to the left, a rule pattern could refer to the first word in the current chunk, or the last word of the previous chunk.</S><S sid = NA ssid = NA>Voutilainen (1993), in his impressive NPtool system, uses an approach that is in some ways similar to the one used here, in that he adds to his part-of-speech tags a new kind of tag that shows chunk structure; the chunk tag &quot;©>N&quot;, for example, is used for determiners and premodifiers, both of which group with the following noun head.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W95-0107.txt | Citing Article:  P07-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NP chunks in the shared task data are BaseNPs, which are non-recursive NPs, a definition first proposed by Ramshaw and Marcus (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At about the same time, Ejerhed (1988), working with Church, performed comparisons between finite state methods and Church's stochastic models for identifying both non-recursive clauses and non-recursive NPs in English text.</S><S sid = NA ssid = NA>We performed experiments using two different chunk structure targets, one that tried to bracket non-recursive &quot;baseNPs&quot; and one that partitioned sentences into non-overlapping N-type and V-type chunks, loosely following Abney's model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W95-0107.txt | Citing Article:  D12-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Transformation-based learning (TBL) was originally introduced via the Brill part-of-speech tagger (Brill, 1992) and has since been applied to a wide variety of NLP tasks, including binary phrase structure bracketing (Brill, 1993), PP-attachment disambiguation (Brill and Resnik, 1994), base NP chunking (Ramshaw and Marcus, 1995), dialogue act tagging (Samuel et al1998), and named entity re cog nition (Black and Vasilakopoulos, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This technique has previously been used not only for part-of-speech tagging (Brill, 1994), but also for prepositional phrase attachment disambiguation (Brill and Resnik, 1994), and assigning unlabeled binary-branching tree structure to sentences (Brill, 1993a).</S><S sid = NA ssid = NA>The source texts were then run through Brill's part-of-speech tagger (Brill, 1993c), and, as a baseline heuristic, chunk structure tags were assigned to each word based on its part-of-speech tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W95-0107.txt | Citing Article:  P07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many approaches to identifying base noun phrases have been explored as part of chunking (Ramshawand Marcus, 1995), but determining sub-NP structure is rarely addressed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since chunking includes identifying the non-recursive portions of noun phrases, it can also be useful for other purposes including index term generation.</S><S sid = NA ssid = NA>This section discusses how text chunking can be encoded as a tagging problem that can be conveniently addressed using transformational learning.</S> | Discourse Facet:  NA | Annotator: Automatic

