Citance Number: 1 | Reference Article:  W96-0213.txt | Citing Article:  W96-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the raw Penn Treebank data contains many inconsistencies in its annotations (cf. Ratnaparkhi, 1996), a single inconsistency in a test set tree will very likely yield a zero percent parse accuracy for the particular test set sentence.</S> | Reference Offset:  ['38','49'] | Reference Text:  <S sid = 38 ssid = >The test corpus is tagged one sentence at a time.</S><S sid = 49 ssid = >The feature set and search algorithm were tested and debugged only on the Training and Development sets, and the official test result on the unseen Test set is presented in the conclusion of the paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W96-0213.txt | Citing Article:  P14-2131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For both tree banks, we convert from constituent to dependency format using pennconverter (Johansson and Nugues, 2007), and generate POS tags using the MXPOST tagger (Ratnaparkhi, 1996).</S> | Reference Offset:  ['20','65'] | Reference Text:  <S sid = 20 ssid = >The parameters {p, ai , • .. , } are then chosen to maximize the likelihood of the training data using p: This model also can be interpreted under the Maximum Entropy formalism, in which the goal is to maximize the entropy of a distribution subject to certain constraints.</S><S sid = 65 ssid = >Using the set of 29 difficult words, the model performs at 96.49% accuracy on the Development Set, an insignificant improvement from the baseline accuracy of 96.43%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W96-0213.txt | Citing Article:  W00-1308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We started with a maximum entropy based tagger that uses features very similar to the ones proposed in Ratnaparkhi (1996).</S> | Reference Offset:  ['0','81'] | Reference Text:  <S sid = 0 ssid = >A Maximum Entropy Model For Part-Of-Speech Tagging</S><S sid = 81 ssid = >The Maximum Entropy (MaxEnt) tagger presented in this paper combines the advantages of all these methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W96-0213.txt | Citing Article:  W00-1308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ratnaparkhi (1996: 134) suggests use of an approximation summing over the training data, which does not sum over possible tags:& quot; h E f j= 2 P (~) p (ti lhi) f j (hi, ti )i=1 However, we believe this passage is in error: such an estimate is ineffective in the iterative scaling algorithm.</S> | Reference Offset:  ['28','30'] | Reference Text:  <S sid = 28 ssid = >The specific word and tag context available to a feature is given in the following definition of a history hi: If the above feature exists in the feature set of the model, its corresponding model parameter will contribute towards the joint probability p(hi,ti) when wi ends with &quot;ing&quot; and when ti =VBG1.</S><S sid = 30 ssid = >The model generates the space of features by scanning each pair (hi ,ti) in the training data with the feature &quot;templates&quot; given in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


