Citance Number: 0 | Reference Article:  H05-1115.txt | Citing Article:  P09-1083-parscit-section.txt | Citation Marker Offset:  10364-10388 | Citation Marker:  Otterbacher et | al., 2005 | Citation Offset:  10339-10389 | Citation Text:  Topic-sensitive LexRank (Otterbacher et al., 2005) | Reference Offset: ['20862-20929'] | Reference Text:  Table 2: Training phase: effect of similarity thresh-old (a) on Ave | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 1 | Reference Article:  H05-1115.txt | Citing Article:  P09-1083-parscit-section.txt | Citation Marker Offset:  16620-16646 | Citation Marker:  Otterbacher et al., 2005 ... Otterbacher et al., 2005 | Citation Offset:  16182-16393 | Citation Text:  The weight ow ij is 1 if the sentence v i contains word o j , otherwise 0. E st denotes the relationship between sentence and topic word. Its weight tw ij is calculated by tf idf (Otterbacher et al., 2005) ... (Otterbacher et al., 2005) | Reference Offset: ['23590-23756'] | Reference Text:  To contrast, LexRank might perform bet-ter when the question provides fewer content words,since it considers both similarity to the query andinter-sentence similarity | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 2 | Reference Article:  H05-1115.txt | Citing Article:  N06-1027-parscit-section.txt | Citation Marker Offset:  7649-7673 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  7604-7674 | Citation Text:  sentence retrieval for question answering (Otterbacher et al., 2005) | Reference Offset: ['-1-172'] | Reference Text:  The“gold standard?extracts list the sentences judged ascontaining answers to a given question by the anno-tators (and therefore have variable sizes) in no par-ticular order.2 | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 3 | Reference Article:  H05-1115.txt | Citing Article:  C08-1062-parscit-section.txt | Citation Marker Offset:  9595-9619 | Citation Marker:  OtterBacher et al., 2005 | Citation Offset:  9527-9620 | Citation Text:  For example, a topic-sensitive version of PageRank was proposed in (OtterBacher et al., 2005) | Reference Offset: ['12913-12975'] | Reference Text:  We experimented with different values of d on ourtraining data | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 4 | Reference Article:  H05-1115.txt | Citing Article:  C08-1062-parscit-section.txt | Citation Marker Offset:  30577-30601 | Citation Marker:  OtterBacher et al., 2005 | Citation Offset:  30514-30602 | Citation Text:  These algorithms are all based on the query-sensitive LexRank (OtterBacher et al., 2005) | Reference Offset: ['12583-12796'] | Reference Text:  A simpler version of Equation 5, where A is auniform matrix andB is a normalized binary matrix,is known as PageRank (Brin and Page, 1998; Pageet al., 1998) and used to rank the web pages by theGoogle search engine | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 5 | Reference Article:  H05-1115.txt | Citing Article:  C10-2049-parscit-section.txt | Citation Marker Offset:  20739-20763 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  20635-20765 | Citation Text:  Component relevance scores are calculated using Term Frequency  Inverse Sentence Frequency (TFISF) (Otterbacher et al.,2005): | Reference Offset: ['8918-8997', '8999-9153'] | Reference Text:  where tfw,s and tfw,q are the number of times wappears in s and q, respectively...This model hasproven to be successful in query-based sentence re-trieval (Allan et al., 2003), and is used as our com-petitive baseline in this study (e.g | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 6 | Reference Article:  H05-1115.txt | Citing Article:  P06-1039-parscit-section.txt | Citation Marker Offset:  33397-33421 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  33363-33422 | Citation Text:  random-walk summarization model (Otterbacher et al., 2005) | Reference Offset: ['28435-28580'] | Reference Text:  As in-dicated in Table 9, each of the top three sentenceswere judged by our annotators as providing a com-plete answer to the respective question | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 7 | Reference Article:  H05-1115.txt | Citing Article:  D08-1032-parscit-section.txt | Citation Marker Offset:  6073-6477 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  6004-6071 | Citation Text:  A topic-sensitive LexRank is proposed in (Otterbacher et al., 2005) ... As in LexRank, the set of sentences in a document cluster is represented as a graph, where nodes are sentences and links between the nodes are induced by a similarity relation between the sentences. Then the system ranked the sentences according to a random walk model defined in terms of both the inter-sentence similarities and the similarities of the sentences to the topic description or question | Reference Offset: ['7379-7506'] | Reference Text:  There areedges between nodes for which the cosine similar-ity between the respective pair of sentences exceedsa given threshold | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 8 | Reference Article:  H05-1115.txt | Citing Article:  D08-1032-parscit-section.txt | Citation Marker Offset:  20317-20439 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  6046-6070 | Citation Text:  To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset: ['8108-8239', '8268-8433'] | Reference Text:  Below,we describe a topic-sensitive version of LexRank,which is more appropriate for the question-focusedsentence retrieval problem...score of a sentence is determined by a mixture modelof the relevance of the sentence to the query and thesimilarity of the sentence to other high-scoring sen-tences. | Discourse Facet: Aim_Citation |  Annotator:  a |
Citance Number: 9 | Reference Article:  H05-1115.txt | Citing Article:  P08-2003-parscit-section.txt | Citation Marker Offset:  2279-2303 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  2236-2304 | Citation Text:  A topic-sensitive LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset: ['28281-28433'] | Reference Text:  In a Web-based news summarization setting, users of our sys-tem could choose to see the retrieved sentences (asin Table 9) as a question-focused summary | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 10 | Reference Article:  H05-1115.txt | Citing Article:  P08-2003-parscit-section.txt | Citation Marker Offset:  5412-5436 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  5316-5437 | Citation Text:  To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset: ['8108-8239', '8268-8433'] | Reference Text:  Below,we describe a topic-sensitive version of LexRank,which is more appropriate for the question-focusedsentence retrieval problem...score of a sentence is determined by a mixture modelof the relevance of the sentence to the query and thesimilarity of the sentence to other high-scoring sen-tences. | Discourse Facet: Aim_Citation |  Annotator:  a |
Citance Number: 11 | Reference Article:  H05-1115.txt | Citing Article:  P10-2055-parscit-section.txt | Citation Marker Offset:  18348-18372 | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  18323-18373 | Citation Text:  topic-sensitive LexRank (Otterbacher et al., 2005) | Reference Offset: ['28281-28433'] | Reference Text:  In a Web-based news summarization setting, users of our sys-tem could choose to see the retrieved sentences (asin Table 9) as a question-focused summary | Discourse Facet: Method_Citation |  Annotator:  a |
